"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"11","1（11）","萱草蝴蝶图","文俶","1595","江苏苏州","吴派","1628-1634","明代","61.5x29.5cm","","花鸟画"," 萱草、蝴蝶","明代文人画","工笔、兼工带写，笔致清新淡雅，设色鲜丽","淡设色、墨色，花瓣正面用深朱砂，背面用浅黄","横向构图，布局疏密有致","清逸秀雅，富有生趣","没骨法、勾勒法，线条细腻","淡墨晕染，浓墨提醒结构","金笺","植物颜料，矿物颜料","“端容”“赵文傲印”","钤印：赵氏文、文
鉴藏印：张珩私印、徐邦达印、金陵王仲武鉴藏
王仲武边跋
张珩题签","这幅画作以纵向展开的方式呈现，营造出一种自然生长的动态感，画面构图精巧，留白与山石、花卉形成和谐对比，使整体更显生动和富有韵律感。色彩搭配上，画家选用柔和的水墨搭配细腻的青绿色色调，在画面上营造出一种清新淡雅的视觉效果。线条运用细腻而流畅，尤其在刻画花卉与蝴蝶的动态和姿态时，展现出一种栩栩如生的生命力。尺度与比例上的把握亦十分到位，花卉、蝴蝶与山石间的比例关系得当，使得画面既富有层次感又不失平衡。整体呈现出一种优雅而富有诗意的自然景象。","本乐曲意境宁静致远，富有诗意，以箫、古琴、琵琶等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现自然山水间，野花盛开的宁静景象。","雅昌"
"12","1（12）","三清图","德林","","","","","","20×183cm","","花鸟画","","","","","","","","","","","","钤印：德 (朱文）、吾厚之章 (白文)","这幅画作以流畅而富有表现力的线条引人注目，粗细变化自然，线条似乎在纸上舞动，赋予画面生命力。在构图上，画家巧妙地安排元素，使得画面既有动感又不失平衡，观者的视线自然地被引导穿过画面。肌理的处理上，采用墨色的浓淡变化，创造出丰富的视觉层次，似乎能够触摸到画中景物的真实质感。明暗对比被艺术家运用得当，通过明亮的留白和沉稳的墨色之间的对照，使画面具备更深邃的立体感，仿佛透露出画外的光源与影子。","本乐曲意境幽静，宜用古琴、箫等乐器，采用道教禅修风格，节奏舒缓流畅，表现园林中百花盛开、笔法飘逸的静谧景象。","雅昌"
"13","1（13）","桃花飞燕图","徐桢","1841","江苏吴江","清末民初画坛，传统花鸟画派","于19世纪中后期","清代","","","花鸟画"," 桃花、燕子","传统花鸟画派","工笔、兼工带写，笔墨劲健，风神灵逸","淡彩、墨色","","清逸秀雅，富有生趣","笔墨劲健，线条流畅","淡墨晕染，浓墨提醒结构","纸本或绢本","植物颜料、矿物颜料","","","这幅画作在构图上展现出优雅的均衡，整体呈扇形展开，树枝在扇面上横向延伸，营造出开放而流动的视觉效果。动态与姿态方面，小鸟振翅欲飞的姿态表现出生命的活力和瞬间的动感。线条质量则以流畅而细腻的笔触为特色，枝叶的描绘细致而生动，体现了卓越的技艺。色彩搭配上，柔和的粉色桃花与淡雅的棕色枝干形成鲜明对比，呼应春天的生机。象征与图像元素中，桃花与飞燕常常代表春天和新生，寓意吉祥、美好。","这首乐曲的意境是宁静致远的，用古筝、笛子等乐器演奏，采用中国传统古典音乐风格，节奏舒缓流畅，表现出春暖花开、百鸟鸣叫、鸟语花香的宁静景象。","雅昌"
"14","1（14）","木棉双鸟","郭适","","广东顺德","清代文人画派","1794","清代","138.2×62.5cm","广东省博物馆","花鸟画","木棉、双鸟","清代文人画","写意、兼工带写，善于用墨，墨法如染色","墨色、淡彩","垂直构图，主体突出","清逸、高洁，体现岭南地区花鸟的独特韵味","笔墨流畅，仿徐渭风格，以放为收","浓墨渲染花叶，淡墨勾勒枝干","纸本","植物颜料、矿物颜料","","钤印：乐郊、郭适私印
","这幅作品中，构图展现了精妙的平衡和自然流畅的节奏，树枝婉转而上，盛开的红色花朵使画面充满活力。色彩搭配上，艳丽的红花与鸟儿的黑白形成鲜明对比，背景则采用柔和的褐色，提升了前景的突出感。线条的质量上，运用了细腻柔和的笔触，赋予了花与鸟儿生动的质感。象征与图像方面，花朵与鸟儿寓意生命与和谐，传达出自然世界的宁静和美好。动态与姿态中，两只鸟停驻在枝头，神态悠然，为画作增添了动态生趣。","本乐曲的意境是宁静、诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现鸟儿栖息在梅花丛中，环境清幽、静谧的景象。","雅昌"
"15","1（15）","墨松","汤涤","1879","江苏常州","清末民初文人画派","1900-1948","清末民初","154x41cmx4","","花鸟画"," 松树","清末民初文人画派","写意，笔墨苍劲，气势宏大","墨色","垂直构图，松树为主体","高洁、坚贞，象征坚韧不拔的品格","笔墨流畅，松针长而稀，龙鳞马鬃","浓墨渲染，淡墨勾勒","纸本","植物颜料、矿物颜料","","钤印：汤定之，定之所作、昆陵汤涤定之、定之书画","这幅画作展现了极具表现力的线条质量，描绘了树干和枝叶的质感与细节。线条的粗细变化不仅增强了树木的立体感，也赋予画面生动的节奏。构图上，画家采用了垂直的布局，巧妙地引导观者的视线在画面中游走，营造出一种悠长的空间感。画作表面的肌理质感随墨色的浓淡变化显露无遗，树皮的粗糙感通过细腻的笔触得以呈现。明暗对比方面，浓墨与淡墨相互呼应，加强了画面的深度与层次，让整个画作充满了视觉张力。","本曲意境宁静而诗意，以古琴、箫、二胡等乐器，以中国传统古典乐风，以舒缓流畅的节奏，表现古松静谧的景象，传达古松粗犷的枝干所蕴含的永恒优雅与坚韧精神，营造出一种沉思的氛围，每个音符都映射出画中树木的细腻笔触和沉静的力量。","雅昌"
"16","1（16）","繁花似锦","恽冰","1771","江苏常州","常州画派","1811","清代","15x20.5cmx8","","花鸟画"," 花卉","常州画派","没骨法，注重写实，色彩明快","设色丰富，色彩明快","常见的花鸟画构图","生动活泼，清新自然”","没骨法，用笔细腻","","纸本","植物颜料","","钤印：恽、冰","这幅画作在构图上展现出一种优雅的均衡，通过精心布局的植物元素引导观者的视线。色彩搭配上，清新的绿叶与艳丽的花朵形成了鲜明对比，和谐中不乏生动。线条质量流畅且细腻，每一笔都充满了准确的力量和柔和的韵味，细致描绘出植物的生命力。肌理方面，虽画面平滑，却能让人感受到花朵与叶片的真实质感，增加了观感的丰富性。形状的处理精致巧妙，各种花卉植物在画布上展现出富有变化的自然形态，生动而不紊乱。","本乐曲的意境宁静而富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现一片鲜花盛开的静谧花园。","雅昌"
"17","1（17）","墨松","汤涤","1879","江苏常州","清末民初文人画派","","清末民初","100×56cm","","花鸟画"," 松树","清末民初文人画派","写意，笔墨苍劲，气势宏大","墨色","垂直构图，松树为主体","高洁、坚贞，象征坚韧不拔的品格","笔墨流畅，松针长而稀，龙鳞马鬃","浓墨渲染，淡墨勾勒","纸本","植物颜料、矿物颜料","","","这幅画作以精致的线条质量展现出松树的结构与生命力，线条的粗细变换以及流畅的弧度增添了视觉上的动态感。画中的肌理效果通过墨色的层次变化而突显，尤其在树干的表现上达到了细腻自然的效果，仿佛能感受到树皮的粗糙与厚重。作品的构图采用大胆的角度，树枝向上延伸充满画面，强调了松树的姿态和韧性。动态与姿态之间的对比使其显得生机勃勃，同时通过明暗对比，松针与背景的不同层次得以显现，为画面增添了深邃感和立体效果。","本乐曲意境宁静致远，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现松树巍峨挺拔、亘古不变的宁静景象，给人一种与自然和谐相处的感觉。","雅昌"
"18","1（18）","芦雁图","李祯","1877","浙江绍兴","海派","1877-1929","清代","98x51cm","","花鸟画"," 芦雁","海派","写意、兼工带写，笔墨流畅，风格清新自然","墨色、淡彩","垂直构图，主体突出，背景简洁","清逸、生动，体现自然和谐的氛围","笔墨流畅，用笔细腻，注重神态刻画","淡墨晕染，浓墨勾勒结构","纸本","植物颜料、矿物颜料","","钤印：李祯印信","这幅画作通过精巧的动态与姿态捕捉群鸟的生活瞬间，每只鸟儿的动作自然而流畅，展示出鲜明的个性与活力。构图上，以竹枝与芦苇为背景，营造了画面的纵深感和层次感，营造出自然和谐的生态环境。线条质量纤细流畅，细节处理极为精致，尤其是在描绘鸟羽时尤为突出。色彩搭配则采用柔和的棕色和灰色调，辅以些许红色，形成素雅与生动的对比。整体意境展现出对自然和生命的深刻理解与象征意义，传达出和谐宁静的视觉体验。","这首乐曲的意境是宁静而富有诗意的，运用古琴、箫、二胡等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现出芦苇荡、水光潋滟、鸭子栖息的宁静景象。","雅昌"
"19","1（19）","花鸟","刘锡玲","1848","浙江","清末指画派","1875-1923","清代","111×38cm","","花鸟画","如燕子、花卉等","清末指画派","指画，工笔与写意结合，注重神韵","墨色、淡彩，色彩古朴悠远","垂直或横向构图，画面简洁","清逸、生动，体现自然和谐的氛围","指画技法，毛茸茸的燕羽、柔嫩的草叶等细节均为指头画","淡墨晕染，浓墨勾勒","绢本","植物颜料、矿物颜料","常用印有“臣刘锡玲""伊山震民""等""","钤印：臣刘锡玲、梓谦别号自闻居士甲午后始称聋道人、锡玲书画","这幅画作在构图上展现出一种高度的平衡感，利用垂直方向排列的植物和水平延伸的篱笆创建出优雅的视觉秩序。线条质量极为细腻，以流畅而坚定的笔触刻画花鸟，赋予生动的生命力。色彩搭配上，水墨的沉稳与少量金黄的亮丽形成对比，增强了整体的视觉张力。动态与姿态方面，植物的自然生长姿态与鸟儿的歇息状态形成静动结合，展现出自然界的和谐之美。象征与图像则将朴素的自然之景与更深层的文化意义结合，令人遐想。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现菊花盛开、鸟儿栖息在篱笆上的宁静园林景象。","雅昌"
"20","1（20）","花鸟","刘锡玲","1849","浙江","清末指画派","1875-1924","清代","103×39cm","","花鸟画","如燕子、花卉等","清末指画派","指画，工笔与写意结合，注重神韵","墨色、淡彩，色彩古朴悠远","垂直或横向构图，画面简洁","清逸、生动，体现自然和谐的氛围","指画技法，毛茸茸的燕羽、柔嫩的草叶等细节均为指头画","淡墨晕染，浓墨勾勒","绢本","植物颜料、矿物颜料","常用印有“臣刘锡玲""伊山震民""等","","这幅作品的构图精妙，鸟儿稳稳地立于树枝之上，创造了视觉的重心，而花卉则在画面下方展开，形成自然的平衡感。线条流畅而有力，细致勾勒出花瓣和羽毛的质感，使得整个图像充满生动的活力。鸟与花的姿态生动，似在风中动态微妙，呈现出生命的律动。色彩搭配则以墨色为主调，偶尔加入的淡彩巧妙地增强了画面的层次感和深度。象征与图像上，鸟和花呈现自然界的和谐美好，也许隐喻着自然生命的繁荣与美丽。","本乐曲意境宁静祥和，宜用古琴、箫等乐器，采用道教禅修风格，节奏舒缓流畅，表现自然和谐之景，双鸟栖枝，菊花盛开，令人心旷神怡，与画作的清雅淡雅相得益彰。","雅昌"
"21","1（21）","花鸟","刘锡玲","1850","浙江","清末指画派","1875-1925","清代","89x43cm","","花鸟画","如燕子、花卉等","清末指画派","指画，工笔与写意结合，注重神韵","墨色、淡彩，色彩古朴悠远","垂直或横向构图，画面简洁","清逸、生动，体现自然和谐的氛围","指画技法，毛茸茸的燕羽、柔嫩的草叶等细节均为指头画","淡墨晕染，浓墨勾勒","绢本","植物颜料、矿物颜料","常用印有“臣刘锡玲""伊山震民""等""","钤印：刘锡玲印(白）、聋道人(白）、梓谦画章(朱)","这幅作品的构图巧妙地运用了留黑与留白的对比，使画面充满了视觉上的平衡和节奏感。线条的质量细腻而有力量，展现了细节上的韧性以及大胆的挥洒。色彩搭配上，画中柔和的粉色与浓烈的黑色形成鲜明对比，赋予作品生命力和情感深度。在动态与姿态上，鸟的灵动与树枝的斜角形成和谐的呼应，通过细致的绘制传达出自然的生机。尺度与比例的安排精准，尤其是在物与环境的关系中，使观者产生强烈的空间感和纵深感。作品整体呈现出一种静谧而丰富的视觉体验。","本乐曲的意境是宁静、诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现烟波浩渺、梅花盛开、鸟语花香的宁静景象。","雅昌"
"22","1（22）","南国春光 行书","戴曦、朱元树","","浙江余姚
（朱元树）","现代书法","1904","现代","","","花鸟画"," ","现代书法流派","流畅、自然","设色丰富","","生机与活力","行书笔法，注重连笔与节奏","淡墨与浓墨相结合","纸本或绢本","","","钤印：西楼 (朱文）戴曦 (白文）见崖写生 (朱文)
钤印：朱元树印 (白文）甲辰瀚林 (朱文）","0","本乐曲意境宁静致远，充满诗意，以古琴、箫为乐器，采用中国传统古典乐风，节奏舒缓流畅，表现梅花盛开、小鸟栖息枝头的宁静景象，体现大自然在春天和谐环境中的优雅静谧之美。","雅昌"
"23","1（23）","丹凤图","司马钟","1792","南京","清代文人画派","19世纪","清代","173x56cm","湖北省博物馆","花鸟画","丹凤","清代文人画派","写意，落笔豪放，气势遒逸","墨色、淡彩","垂直构图","豪放、古朴","粗笔点叶，古朴别致","浓墨淡墨结合，富有层次","纸本","植物颜料","司马钟印","钤印：子英 (朱)
鉴藏印：吉庭过目（白)","这幅画作展现了非凡的构图技巧，主体与背景的比例协调，鸟儿的姿态充满动态感，像是随时要振翅而飞。色彩搭配上，运用了柔和的墨色与少量的朱红，使画面既显宁静又不失活力。线条质量优雅流畅，细腻的笔触营造出羽毛的轻盈感，令人赞叹不已。而肌理的运用则进一步提升了画面的真实感，树枝和羽毛的质感被巧妙地表现，生动逼真，给人一种触手可及的感觉。","本乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现凤凰栖枝、静谧自然的秀美景象。","雅昌"
"24","1（24）","梅鹰图","曾衍东","1751","山东嘉祥","清代文人画派，受“扬州八怪""影响","1792-1830","清代","133×61cm","","花鸟画"," 梅、鹰","清代文人画派","写意，笔墨狂放，以怪奇取胜","墨色","垂直构图，梅枝与鹰为主","清逸、高远，体现文人隐逸精神","笔墨潇洒，以书法入画","淡墨晕染，浓墨勾勒","纸本","植物颜料、矿物颜料","","钤印：曾衍东印、七品官耳","这幅画作通过巧妙的构图将观者的目光引导至鸟儿的优雅姿态，树枝于画面中形成动感的对角线，引导视线流动。线条质量呈现出不拘一格的风格，粗细变化增强了主题的生动感与立体感，特别是在展翅的鸟儿身上体现出动感。动态与姿态的捕捉充满活力，三只鸟儿或展翅或栖息，营造出生动的场景。象征与图像运用得当，隐喻着力量与和谐的文化意蕴。色彩搭配上，黑墨与淡彩的结合增添了画面的层次感，营造出一种古雅宁静的氛围。","本乐曲意境宁静致远，富有诗意，以古筝、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现百鸟栖花枝的清秀景象，体现自然宁静和谐的瞬间。","雅昌"
"25","1（25）","花鸟（旧）","彭年","1505","江苏苏州","明代文人画派","1522-1567","明代","122x33cm","","花鸟画","","明代文人画派","写意，笔墨潇洒，以书法入画","墨色为主，有淡彩设色","垂直构图","清逸、高远，体现文人隐逸精神","笔墨流畅，注重书法笔意","淡墨晕染，浓墨勾勒","纸本","植物颜料","","钤印：彭年、吴宽等","这幅画作构图精妙，充满层次感，以蜿蜒的树木横亘画面，与茂盛的花卉形成巧妙的对比，拉开了视觉上的纵深。色彩搭配雅致，柔和的自然色调搭配鲜明的红色和粉色花卉，带来视觉上的鲜明冲击，赋予画面生动的表现力。线条流畅自然，松针的精细刻画与枝干的厚实线条形成了对比，展示了高超的技艺。画中元素的动态与姿态富有生命力，尤以枝头鸟的灵动身影，将自然界的灵性尽显无余。象征与图像处理上，寓意丰富，通过植物和动物的和谐相处，传达出对生命与自然的礼赞。","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现自然和谐的田园景象。","雅昌"
"26","1（26）","花鸟（新）","彭年","1506","江苏苏州","明代文人画派","1522-1568","明代","131×33cm","","花鸟画","","明代文人画派","写意，笔墨潇洒，以书法入画","墨色为主，有淡彩设色","垂直构图","清逸、高远，体现文人隐逸精神","笔墨流畅，注重书法笔意","淡墨晕染，浓墨勾勒","纸本","植物颜料","","钤印：彭年、吴宽等","0","本乐曲的意境是宁静而诗意的。它应使用古琴和箫乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现一只华丽的鸟儿栖息在盛开的鲜花和常青的松树之间的和谐自然环境的场景。音乐应唤起一种宁静的美感和永恒的优雅，捕捉动植物在微妙的平衡中宁静共存的感觉。古琴的细音可以模仿松针的沙沙声，箫的柔音可以反映出鸟儿的温柔和花朵的芬芳，营造出一种身临其境的听觉体验，与这幅画的视觉诗意相得益彰。","雅昌"
"27","1（27）","鹭石图","朱耷","1626","江西南昌","明末清初画坛“四僧""之一","1626-1705","明末清初","92.2×55.6cm","","花鸟画","鹭与石","明末清初文人画派","写意，笔墨凝炼沉毅，风格雄奇隽永","墨色","垂直构图，画面简洁，意境空阔","孤傲落寞，清空出世","笔墨放任恣纵，苍劲圆秀","淡墨晕染，浓墨勾勒","纸本","植物颜料","常用“八大山人""等印章","钤印：八大山人何园 真赏
边跋：此八大山人晚年逸笔 望而知为真迹 识者之 癸酉春日友人携示因题 徐邦达时在京华客次","画作中，线条质量表现出极具笔墨趣味的风格，粗细之间恰到好处的对比赋予了画面生命力。构图上，采用了高度的简洁与留白，使主体形象更为突出，观者的视线自然被引导至鹭鸟与岩石的互动中。动态与姿态则精炼传达了鹭鸟的优雅与沉静，尽显其栩栩如生的神韵，而其站立于石头上的姿势不仅强调出其自然之美，也暗示了内在的平衡与和谐。象征与图像方面，通过鹭鸟与岩石的组合，营造出一种清雅孤寂却又蕴含生气的意境，传达出深刻的生命哲学思考。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，在简约的自然环境中，表现仙鹤栖石的静谧景象。","雅昌"
